"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster-worker-2",,,,"User:","ubuntu"
"Cmdline:","dstat --time -c -m -d -n --io --top-bio --output nbt_cidd_2.csv",,,,"Date:","26 Sep 2019 07:24:50 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"dsk/total",,"net/total",,"io/total",,"most expensive"
26-09 07:25:43,0.0,1.015,98.985,0.0,0.0,0.0,749797376.0,10240000.0,723902464.0,2659385344.0,1048576.0,0.0,4043197.0,10084.0,4.0,0.0,java / 1048576:3969024
26-09 07:25:44,0.995,0.995,96.020,1.493,0.0,0.498,749965312.0,10248192.0,727945216.0,2655166464.0,1048576.0,40960.0,4041860.0,10612.0,4.0,2.0,java / 1048576:4030464
26-09 07:25:45,1.005,0.503,98.492,0.0,0.0,0.0,749326336.0,10248192.0,732073984.0,2651676672.0,1048576.0,0.0,4108706.0,10363.0,4.0,0.0,java / 1048576:4096000
26-09 07:25:46,1.010,0.505,98.485,0.0,0.0,0.0,749682688.0,10248192.0,736325632.0,2647068672.0,1179648.0,0.0,4172355.0,10202.0,5.0,0.0,java / 1179648:4161536
26-09 07:25:47,0.503,0.503,98.492,0.503,0.0,0.0,749404160.0,10248192.0,740511744.0,2643161088.0,1048576.0,0.0,4107219.0,10407.0,4.0,0.0,java / 1048576:4096000
26-09 07:25:48,0.503,1.508,97.990,0.0,0.0,0.0,749850624.0,10248192.0,744636416.0,2638589952.0,1048576.0,0.0,4171893.0,10004.0,4.0,0.0,java / 1048576:4157440
26-09 07:25:49,0.0,0.508,98.477,1.015,0.0,0.0,749998080.0,10256384.0,748773376.0,2634297344.0,1048576.0,16384.0,4173687.0,10304.0,4.0,2.0,java / 1048576:4161536
26-09 07:25:50,1.0,1.0,98.0,0.0,0.0,0.0,749936640.0,10256384.0,753020928.0,2630111232.0,1048576.0,0.0,4171936.0,10698.0,4.0,0.0,java / 1048576:4161536
26-09 07:25:51,0.498,1.493,97.512,0.498,0.0,0.0,749744128.0,10256384.0,756961280.0,2626363392.0,1048576.0,0.0,3976686.0,9971.0,4.0,0.0,java / 1048576:3969024
26-09 07:25:52,0.500,1.500,98.0,0.0,0.0,0.0,750358528.0,10256384.0,761184256.0,2621526016.0,1048576.0,0.0,4302779.0,10345.0,4.0,0.0,java / 1048576:4227072
26-09 07:25:53,1.005,0.503,98.492,0.0,0.0,0.0,750104576.0,10256384.0,765218816.0,2617745408.0,1048576.0,0.0,4041776.0,10671.0,4.0,0.0,java / 1048576:4096000
26-09 07:25:54,0.995,1.493,96.517,0.995,0.0,0.0,750067712.0,10264576.0,769380352.0,2613612544.0,1048576.0,16384.0,4106780.0,10059.0,4.0,2.0,java / 1048576:4091904
26-09 07:25:55,0.505,1.010,98.485,0.0,0.0,0.0,750407680.0,10264576.0,773545984.0,2609106944.0,1048576.0,0.0,4236940.0,10295.0,4.0,0.0,java / 1048576:4227072
26-09 07:25:56,0.503,1.005,98.492,0.0,0.0,0.0,750006272.0,10264576.0,777768960.0,2605285376.0,1048576.0,0.0,4237643.0,11089.0,4.0,0.0,java / 1048576:4227072
26-09 07:25:57,1.0,0.500,98.0,0.500,0.0,0.0,750264320.0,10264576.0,781942784.0,2600853504.0,1048576.0,0.0,4043065.0,10216.0,4.0,0.0,java / 1048576:4030464
26-09 07:25:58,0.500,1.500,98.0,0.0,0.0,0.0,750592000.0,10264576.0,786022400.0,2596446208.0,1048576.0,0.0,4237072.0,10279.0,4.0,0.0,java / 1048576:4227072
26-09 07:25:59,1.0,1.0,96.500,1.500,0.0,0.0,750374912.0,10272768.0,790319104.0,2592358400.0,1048576.0,53248.0,4237313.0,10891.0,4.0,7.0,java / 1048576:4239360
26-09 07:26:00,0.500,1.0,98.500,0.0,0.0,0.0,751251456.0,10272768.0,794390528.0,2587410432.0,1048576.0,0.0,4237072.0,10295.0,4.0,0.0,java / 1048576:4222976
26-09 07:26:01,1.005,1.005,97.990,0.0,0.0,0.0,750829568.0,10272768.0,798855168.0,2583367680.0,1048576.0,0.0,4302053.0,10290.0,4.0,0.0,java / 1048576:4358144
26-09 07:26:02,0.503,1.005,98.492,0.0,0.0,0.0,751489024.0,10272768.0,803127296.0,2578436096.0,1179648.0,0.0,4237115.0,10825.0,5.0,0.0,java / 1179648:4165632
26-09 07:26:03,0.505,1.010,98.485,0.0,0.0,0.0,750972928.0,10272768.0,807567360.0,2574512128.0,1048576.0,0.0,4367562.0,10565.0,4.0,0.0,java / 1048576:4354048
26-09 07:26:04,1.005,0.503,96.985,1.508,0.0,0.0,751411200.0,10280960.0,811835392.0,2569797632.0,1048576.0,86016.0,4302515.0,10356.0,4.0,15.0,java / 1048576:4288512
26-09 07:26:05,1.005,0.503,98.492,0.0,0.0,0.0,751435776.0,10280960.0,816214016.0,2565394432.0,1048576.0,0.0,4368871.0,11361.0,4.0,0.0,java / 1048576:4362240
26-09 07:26:06,0.995,0.498,97.512,0.498,0.0,0.498,751505408.0,10280960.0,820396032.0,2561142784.0,1048576.0,0.0,4302119.0,10290.0,4.0,0.0,java / 1048576:4288512
26-09 07:26:07,1.015,0.508,98.477,0.0,0.0,0.0,752152576.0,10280960.0,824774656.0,2556116992.0,1048576.0,0.0,4368762.0,10667.0,4.0,0.0,java / 1048576:4354048
26-09 07:26:08,1.010,1.010,97.980,0.0,0.0,0.0,751546368.0,10280960.0,829214720.0,2552283136.0,1048576.0,0.0,4367317.0,11087.0,4.0,0.0,java / 1048576:4358144
26-09 07:26:09,0.500,2.500,90.500,6.500,0.0,0.0,752119808.0,10289152.0,832892928.0,2548023296.0,786432.0,24657920.0,4106516.0,9861.0,3.0,73.0,java / 786432:4096000
26-09 07:26:10,1.508,0.503,96.985,1.005,0.0,0.0,751890432.0,10289152.0,837410816.0,2543734784.0,1048576.0,101437440.0,4369182.0,11439.0,4.0,195.0,java / 1048576:4362240
26-09 07:26:11,0.505,1.010,97.980,0.505,0.0,0.0,752623616.0,10289152.0,841773056.0,2538639360.0,1048576.0,0.0,4303968.0,11782.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:12,1.515,0.505,97.980,0.0,0.0,0.0,752160768.0,10289152.0,845938688.0,2534936576.0,1048576.0,0.0,5458772.0,3731636.0,4.0,0.0,java / 1048576:4333568
26-09 07:26:13,1.005,1.005,97.990,0.0,0.0,0.0,752513024.0,10289152.0,850259968.0,2530263040.0,1048576.0,0.0,4311263.0,4313193.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:14,0.995,1.493,94.030,2.985,0.0,0.498,752467968.0,10297344.0,854614016.0,2525945856.0,1048576.0,69632.0,4311370.0,4314042.0,4.0,4.0,java / 1048576:4288512
26-09 07:26:15,0.0,1.010,98.485,0.505,0.0,0.0,752852992.0,10297344.0,859029504.0,2521145344.0,1048576.0,0.0,4375630.0,4379331.0,4.0,0.0,java / 1048576:4419584
26-09 07:26:16,0.503,1.005,98.492,0.0,0.0,0.0,753270784.0,10297344.0,862928896.0,2516828160.0,1048576.0,0.0,4049721.0,4051642.0,4.0,0.0,java / 1048576:3969024
26-09 07:26:17,0.503,1.005,97.990,0.503,0.0,0.0,752898048.0,10297344.0,867291136.0,2512838656.0,1048576.0,0.0,4311798.0,4313838.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:18,0.503,1.005,97.990,0.0,0.0,0.503,752824320.0,10297344.0,871653376.0,2508550144.0,1179648.0,0.0,4246428.0,4247501.0,5.0,0.0,java / 1179648:4288512
26-09 07:26:19,3.483,1.990,92.537,1.990,0.0,0.0,750354432.0,10305536.0,875900928.0,2506764288.0,1048576.0,20480.0,4245570.0,4247868.0,4.0,2.0,java / 1048576:4161536
26-09 07:26:20,1.005,1.005,97.990,0.0,0.0,0.0,750243840.0,10305536.0,880070656.0,2502705152.0,1048576.0,0.0,4246075.0,4248591.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:21,1.005,0.503,98.492,0.0,0.0,0.0,749813760.0,10305536.0,884391936.0,2498813952.0,1048576.0,0.0,4376274.0,4313113.0,4.0,0.0,java / 1048576:4288512
26-09 07:26:22,1.493,1.493,97.015,0.0,0.0,0.0,750641152.0,10305536.0,888778752.0,2493599744.0,1048576.0,0.0,4377824.0,4444265.0,4.0,0.0,java / 1048576:4354048
26-09 07:26:23,1.005,0.503,97.990,0.503,0.0,0.0,750202880.0,10305536.0,893116416.0,2489700352.0,1048576.0,0.0,4247738.0,4248359.0,4.0,0.0,java / 1048576:4227072
26-09 07:26:24,1.0,1.500,96.500,1.0,0.0,0.0,750579712.0,10313728.0,897019904.0,2485411840.0,1048576.0,24576.0,3984790.0,3986744.0,4.0,2.0,java / 1048576:4034560
26-09 07:26:25,0.503,1.005,97.990,0.0,0.0,0.503,750366720.0,10313728.0,901419008.0,2481225728.0,1048576.0,0.0,4311161.0,4312950.0,4.0,0.0,java / 1048576:4288512
26-09 07:26:26,1.500,1.0,97.0,0.500,0.0,0.0,750673920.0,10313728.0,905695232.0,2476642304.0,1048576.0,0.0,4376201.0,4378706.0,4.0,0.0,java / 1048576:4354048
26-09 07:26:27,0.503,1.508,96.985,0.503,0.0,0.503,751104000.0,10313728.0,910094336.0,2471813120.0,1048576.0,0.0,4376422.0,4378228.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:28,1.005,1.005,97.990,0.0,0.0,0.0,750936064.0,10313728.0,914223104.0,2467852288.0,1048576.0,0.0,4245900.0,4247501.0,4.0,0.0,java / 1048576:4288512
26-09 07:26:29,1.005,1.508,95.477,2.010,0.0,0.0,750866432.0,10321920.0,918564864.0,2463571968.0,1048576.0,20480.0,4246207.0,4247848.0,4.0,2.0,java / 1048576:4161536
26-09 07:26:30,0.990,0.990,97.030,0.495,0.0,0.495,751345664.0,10321920.0,922763264.0,2458894336.0,1048576.0,40960.0,4312217.0,4313080.0,4.0,5.0,java / 1048576:4300800
26-09 07:26:31,1.010,0.505,98.485,0.0,0.0,0.0,751210496.0,10321920.0,927019008.0,2454773760.0,1048576.0,0.0,4246033.0,4248082.0,4.0,0.0,java / 1048576:4227072
26-09 07:26:32,0.508,0.508,98.477,0.0,0.0,0.508,751329280.0,10321920.0,931090432.0,2450583552.0,1048576.0,0.0,4117113.0,4117992.0,4.0,0.0,java / 1048576:4169728
26-09 07:26:33,1.493,0.995,97.015,0.0,0.0,0.498,751534080.0,10321920.0,935231488.0,2446237696.0,1048576.0,0.0,4116830.0,4116708.0,4.0,0.0,java / 1048576:4030464
26-09 07:26:34,0.990,1.485,96.040,0.990,0.0,0.495,751427584.0,10330112.0,939454464.0,2442113024.0,1179648.0,40960.0,4182499.0,4182209.0,5.0,3.0,java / 1179648:4161536
26-09 07:26:35,0.508,0.508,97.970,1.015,0.0,0.0,751394816.0,10330112.0,943616000.0,2437984256.0,1048576.0,0.0,4116345.0,4117636.0,4.0,0.0,java / 1048576:4161536
26-09 07:26:36,1.0,1.500,97.500,0.0,0.0,0.0,751763456.0,10330112.0,948043776.0,2433187840.0,1048576.0,0.0,4376554.0,4378228.0,4.0,0.0,java / 1048576:4292608
26-09 07:26:37,1.010,1.010,97.980,0.0,0.0,0.0,751841280.0,10330112.0,951808000.0,2429345792.0,786432.0,0.0,4246188.0,4248965.0,3.0,0.0,java / 786432:4288512
26-09 07:26:38,1.010,0.505,98.485,0.0,0.0,0.0,752349184.0,10330112.0,956223488.0,2424422400.0,1048576.0,0.0,4375871.0,4378773.0,4.0,0.0,java / 1048576:4354048
26-09 07:26:39,1.005,1.005,96.985,1.005,0.0,0.0,752472064.0,10338304.0,960561152.0,2419953664.0,1048576.0,20480.0,4377132.0,4313047.0,4.0,2.0,java / 1048576:4292608
26-09 07:26:40,0.508,0.508,98.477,0.508,0.0,0.0,752500736.0,10338304.0,964825088.0,2415661056.0,1048576.0,9252864.0,4311375.0,4378062.0,4.0,23.0,java / 1048576:4288512
26-09 07:26:41,0.0,1.005,97.990,0.503,0.0,0.503,752508928.0,10338304.0,968974336.0,2411503616.0,1048576.0,0.0,4180287.0,4182735.0,4.0,0.0,java / 1048576:4161536
26-09 07:26:42,1.508,0.503,97.990,0.0,0.0,0.0,752357376.0,10338304.0,973246464.0,2407383040.0,1048576.0,0.0,4247286.0,4247896.0,4.0,0.0,java / 1048576:4227072
26-09 07:26:43,0.505,1.515,97.475,0.505,0.0,0.0,752771072.0,10338304.0,977465344.0,2402750464.0,1048576.0,0.0,4181845.0,4183453.0,4.0,0.0,java / 1048576:4161536
26-09 07:26:44,0.990,0.495,93.069,5.446,0.0,0.0,753467392.0,10346496.0,977588224.0,2401923072.0,1048576.0,57344.0,558705.0,166080.0,4.0,2.0,java / 1048576:167936
26-09 07:26:45,0.518,1.036,97.927,0.0,0.0,0.518,753356800.0,10346496.0,977653760.0,2401968128.0,1048576.0,135278592.0,173.0,868.0,4.0,135.0,java / 1048576:0
26-09 07:26:46,0.500,0.0,99.0,0.500,0.0,0.0,753463296.0,10346496.0,977694720.0,2401820672.0,1048576.0,0.0,239.0,962.0,4.0,0.0,java / 1048576:0
26-09 07:26:47,0.0,0.0,99.495,0.505,0.0,0.0,753410048.0,10346496.0,977641472.0,2401927168.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:26:48,0.498,0.995,98.507,0.0,0.0,0.0,753410048.0,10346496.0,977641472.0,2401927168.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:49,0.503,0.0,99.497,0.0,0.0,0.0,753389568.0,10346496.0,977534976.0,2402054144.0,1048576.0,0.0,317.0,1432.0,4.0,0.0,java / 1048576:0
26-09 07:26:50,0.0,0.498,98.010,1.493,0.0,0.0,753438720.0,10354688.0,977797120.0,2401734656.0,1179648.0,53248.0,282.0,1398.0,5.0,2.0,java / 1179648:0
26-09 07:26:51,0.0,0.503,99.497,0.0,0.0,0.0,753537024.0,10354688.0,977678336.0,2401755136.0,1048576.0,0.0,173.0,860.0,4.0,0.0,java / 1048576:0
26-09 07:26:52,0.0,0.503,98.995,0.503,0.0,0.0,753537024.0,10354688.0,977678336.0,2401755136.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:53,0.500,0.500,99.0,0.0,0.0,0.0,753426432.0,10354688.0,977678336.0,2401865728.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:26:54,0.500,0.500,99.0,0.0,0.0,0.0,753504256.0,10354688.0,977678336.0,2401787904.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:55,0.0,0.0,99.497,0.503,0.0,0.0,753504256.0,10354688.0,977678336.0,2401787904.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:56,0.503,0.503,97.990,1.005,0.0,0.0,753364992.0,10366976.0,977678336.0,2401914880.0,1048576.0,49152.0,390.0,1600.0,4.0,2.0,java / 1048576:0
26-09 07:26:57,0.0,0.0,100.0,0.0,0.0,0.0,753442816.0,10366976.0,977678336.0,2401837056.0,1048576.0,0.0,305.0,1702.0,4.0,0.0,java / 1048576:0
26-09 07:26:58,0.500,0.0,99.0,0.500,0.0,0.0,753442816.0,10366976.0,977678336.0,2401837056.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:26:59,0.995,0.498,98.507,0.0,0.0,0.0,753410048.0,10366976.0,977678336.0,2401869824.0,1048576.0,0.0,282.0,1398.0,4.0,0.0,java / 1048576:0
26-09 07:27:00,0.0,0.503,99.497,0.0,0.0,0.0,753410048.0,10366976.0,977678336.0,2401869824.0,1048576.0,28672.0,251.0,1346.0,4.0,4.0,java / 1048576:8192
26-09 07:27:01,0.0,0.0,100.0,0.0,0.0,0.0,753319936.0,10366976.0,977735680.0,2401902592.0,1048576.0,0.0,239.0,970.0,4.0,0.0,java / 1048576:0
26-09 07:27:02,0.500,0.0,98.500,1.0,0.0,0.0,753291264.0,10375168.0,977731584.0,2401927168.0,1048576.0,20480.0,282.0,1398.0,4.0,2.0,java / 1048576:8192
26-09 07:27:03,0.500,0.500,98.500,0.500,0.0,0.0,753192960.0,10375168.0,977776640.0,2401980416.0,1048576.0,0.0,173.0,868.0,4.0,0.0,java / 1048576:0
26-09 07:27:04,0.0,0.503,99.497,0.0,0.0,0.0,753192960.0,10375168.0,977776640.0,2401980416.0,1048576.0,0.0,173.0,852.0,4.0,0.0,java / 1048576:0
26-09 07:27:05,0.995,0.0,99.005,0.0,0.0,0.0,753213440.0,10375168.0,977723392.0,2402013184.0,1048576.0,12288.0,282.0,1398.0,4.0,1.0,java / 1048576:0
26-09 07:27:06,0.503,0.0,98.995,0.503,0.0,0.0,753446912.0,10375168.0,977768448.0,2401734656.0,917504.0,0.0,173.0,860.0,4.0,0.0,java / 917504:0
26-09 07:27:07,0.500,0.500,97.500,1.500,0.0,0.0,753668096.0,10383360.0,977694720.0,2401579008.0,1048576.0,28672.0,173.0,852.0,4.0,3.0,java / 1048576:0
26-09 07:27:08,0.498,0.498,99.005,0.0,0.0,0.0,753627136.0,10383360.0,977702912.0,2401611776.0,1048576.0,0.0,282.0,1406.0,4.0,0.0,java / 1048576:0
