"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster7-worker7-2",,,,"User:","ubuntu"
"Cmdline:","dstat --top-io --top-bio --top-cpu --top-mem --net --disk --output /home/ubuntu/Cloud/OpenStack/resourceUsage/RFBot-parallel3.csv -t 1",,,,"Date:","05 Sep 2019 07:51:54 UTC"

"most expensive","most expensive","most expensive","most expensive","net/total",,"dsk/total",,"system"
"i/o process","block i/o process","cpu process","memory process","recv","send","read","writ","time"
java / 43:427,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,272.0,1324.0,0.0,0.0,05-09 07:52:14,
java / 3776:245,java / 0:8192,java / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:15,
java / 43:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:16,
java / 2:1204,java / 0:8192,java / 0%,java / 240734208%,404.0,2716.0,0.0,0.0,05-09 07:52:17,
java / 3776:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,217.0,1395.0,0.0,12288.0,05-09 07:52:18,
java / 43:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:19,
java / 43:427,java / 0:8192,java / 0%,java / 240734208%,272.0,1316.0,0.0,0.0,05-09 07:52:20,
java / 3776:245,java / 0:8192,java / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:21,
java / 43:245,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:22,
java / 43:427,java / 0:8192,kworker/0:1 / 0%,java / 240734208%,272.0,1316.0,0.0,12288.0,05-09 07:52:23,
java / 44921:45931,java / 307200:53248,java / 1%,java / 240734208%,46016.0,2172.0,307200.0,0.0,05-09 07:52:24,
java / 43:245,java / 307200:53248,kworker/0:1 / 0%,java / 240734208%,163.0,789.0,0.0,0.0,05-09 07:52:25,
java / 43:427,java / 307200:53248,kworker/0:1 / 0%,java / 240734208%,272.0,1316.0,0.0,0.0,05-09 07:52:26,
java / 44819:44762,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,1155.0,46319.0,4096.0,102400.0,05-09 07:52:27,
java / 43:245,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,163.0,781.0,0.0,57344.0,05-09 07:52:28,
java / 43:427,java / 0:16384,java / 0%,java / 240734208%,272.0,1316.0,0.0,0.0,05-09 07:52:29,
java / 3776:245,java / 0:16384,java / 0%,java / 240734208%,163.0,765.0,0.0,0.0,05-09 07:52:30,
java / 43:245,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,295.0,831.0,0.0,0.0,05-09 07:52:31,
java / 2:1204,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,404.0,2650.0,0.0,0.0,05-09 07:52:32,
java / 3776:245,java / 0:16384,kworker/0:1 / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:33,
java / 2059:111,java / 135168:0,java / 0%,java / 240734208%,163.0,757.0,135168.0,12288.0,05-09 07:52:34,
java / 43:427,java / 135168:0,kworker/0:1 / 0%,java / 240734208%,272.0,1340.0,0.0,0.0,05-09 07:52:35,
java / 3776:245,java / 135168:0,java / 0%,java / 240734208%,163.0,757.0,0.0,0.0,05-09 07:52:36,
java / 101809599:101635358,java / 811008:101662720,java / 29%,java / 240734208%,107966396.0,126577.0,811008.0,0.0,05-09 07:52:37,
java / 223578313:223521168,java / 475136:223879168,java / 48%,java / 242712576%,55739611.0,116096.0,475136.0,0.0,05-09 07:52:38,
java / 14706336:8,java / 13045760:32768,java / 18%,java / 242712576%,891.0,46602.0,13541376.0,180224.0,05-09 07:52:39,
java / 13783661:0,java / 5910528:0,java / 26%,java / 242778112%,205.0,945.0,5943296.0,0.0,05-09 07:52:40,
java / 313393:0,java / 9605120:0,java / 3%,java / 243896320%,326.0,2018.0,9523200.0,0.0,05-09 07:52:41,
java / 297951:0,java / 11530240:0,java / 9%,java / 242577408%,625.0,1209.0,11513856.0,0.0,05-09 07:52:42,
java / 1856405:353,java / 3055616:4096,java / 20%,java / 242577408%,361.0,1077.0,3059712.0,0.0,05-09 07:52:43,
java / 3623046:590,java / 3821568:0,java / 54%,java / 242577408%,272.0,1446.0,3846144.0,176128.0,05-09 07:52:44,
java / 3318352:4467,java / 1847296:0,java / 69%,java / 242577408%,4167.0,5719.0,2105344.0,0.0,05-09 07:52:45,
java / 581126:2306,java / 757760:0,java / 23%,java / 242577408%,749.0,2866.0,471040.0,0.0,05-09 07:52:46,
java / 865649:62484,java / 540672:61440,java / 19%,java / 242577408%,53270.0,6385.0,581632.0,61440.0,05-09 07:52:47,
java / 2325431:129,java / 4235264:4096,java / 55%,java / 312782848%,229.0,1021.0,4235264.0,0.0,05-09 07:52:48,
java / 1690007:38647,java / 2453504:0,java / 43%,java / 326856704%,71140.0,41572.0,2412544.0,73728.0,05-09 07:52:49,
java / 563424:117713,java / 0:4096,java / 40%,java / 375713792%,254517.0,127673.0,0.0,0.0,05-09 07:52:50,
java / 579005:136085,java / 0:8192,java / 40%,java / 377667584%,223647.0,137910.0,0.0,0.0,05-09 07:52:51,
java / 43:345,java / 0:8192,java / 0%,java / 377667584%,163.0,799.0,0.0,0.0,05-09 07:52:52,
java / 532:344,java / 0:8192,java / 0%,java / 377667584%,940.0,2062.0,0.0,0.0,05-09 07:52:53,
java / 2451476:7949,java / 2056192:0,java / 52%,java / 398196736%,447384.0,7789.0,2056192.0,36864.0,05-09 07:52:54,
java / 225804:110111,java / 0:8192,java / 24%,java / 400605184%,235969.0,118144.0,0.0,0.0,05-09 07:52:55,
java / 43:427,java / 0:8192,java / 0%,java / 400605184%,272.0,1358.0,0.0,0.0,05-09 07:52:56,
java / 23735:345,java / 0:12288,java / 0%,java / 400605184%,163.0,767.0,0.0,45056.0,05-09 07:52:57,
java / 323842:660,java / 0:12288,java / 1%,java / 400605184%,2037.0,2354.0,0.0,0.0,05-09 07:52:58,
java / 948:556,java / 0:8192,java / 0%,java / 400605184%,1744.0,2751.0,0.0,65536.0,05-09 07:52:59,
java / 23735:345,java / 0:4096,java / 1%,java / 400605184%,561.0,1223.0,0.0,40960.0,05-09 07:53:00,
java / 1781301:3690,java / 303104:0,java / 48%,java / 463015936%,38503.0,5765.0,303104.0,0.0,05-09 07:53:01,
java / 1456308:3806,java / 90112:0,java / 69%,java / 502358016%,704.0,6774.0,114688.0,50802688.0,05-09 07:53:02,
java / 8392828:8392590,java / 8900608:0,java / 89%,java / 518246400%,43755.0,2792.0,8904704.0,0.0,05-09 07:53:03,
java / 6139904:6145347,java / 6029312:0,java / 86%,java / 616214528%,217.0,1249.0,6422528.0,0.0,05-09 07:53:04,
java / 10240043:10242672,java / 10354688:0,java / 60%,java / 765050880%,314.0,1482.0,9961472.0,106496.0,05-09 07:53:05,
java / 11292672:11299509,java / 11403264:0,java / 51%,java / 868261888%,163.0,881.0,11403264.0,4096.0,05-09 07:53:06,
java / 7462912:7466927,java / 7340032:8192,java / 53%,java / 997789696%,163.0,881.0,7610368.0,111939584.0,05-09 07:53:07,
java / 11821099:11828568,java / 11927552:8192,java / 55%,java / 1013334016%,272.0,1448.0,11665408.0,0.0,05-09 07:53:08,
java / 13541376:13546195,java / 13500416:0,java / 56%,java / 1025372160%,163.0,889.0,13762560.0,0.0,05-09 07:53:09,
java / 14532608:14537380,java / 14548992:0,java / 53%,java / 1043152896%,163.0,881.0,14548992.0,0.0,05-09 07:53:10,
java / 15253547:15264676,java / 15204352:0,java / 50%,java / 1052712960%,272.0,1440.0,14942208.0,118784.0,05-09 07:53:11,
java / 15060992:15066012,java / 15073280:0,java / 58%,java / 1070555136%,463.0,4881.0,15073280.0,0.0,05-09 07:53:12,
java / 14135296:14140906,java / 13914112:0,java / 53%,java / 1088286720%,229.0,1013.0,13914112.0,0.0,05-09 07:53:13,
java / 7393333:7400763,java / 7077888:0,java / 50%,java / 1098215424%,133921.0,2790.0,7110656.0,0.0,05-09 07:53:14,
java / 14663804:14670095,java / 15192064:0,java / 86%,java / 1110208512%,12005.0,7980.0,15441920.0,0.0,05-09 07:53:15,
java / 13344768:13347958,java / 13238272:0,java / 63%,java / 1128529920%,163.0,881.0,13373440.0,0.0,05-09 07:53:16,
java / 14659627:14669965,java / 14811136:0,java / 55%,java / 1145446400%,404.0,2774.0,14548992.0,69632.0,05-09 07:53:17,
java / 15785984:15792881,java / 15859712:0,java / 51%,java / 1155989504%,163.0,881.0,15859712.0,0.0,05-09 07:53:18,
java / 15589376:15594644,java / 15597568:0,java / 50%,java / 1172209664%,205.0,947.0,15859712.0,0.0,05-09 07:53:19,
java / 15851563:15859387,java / 15859712:0,java / 52%,java / 1183023104%,380.0,1772.0,15597568.0,0.0,05-09 07:53:20,
java / 14462976:14471301,java / 14286848:0,java / 52%,java / 1201876992%,163.0,881.0,14286848.0,0.0,05-09 07:53:21,
java / 12881920:12885405,java / 12865536:0,java / 53%,java / 1215393792%,463.0,4881.0,12865536.0,0.0,05-09 07:53:22,
java / 15650859:15661150,java / 15466496:0,java / 50%,java / 1225936896%,272.0,1440.0,15728640.0,12288.0,05-09 07:53:23,
java / 13013126:13017608,java / 13357056:0,java / 54%,java / 1237446656%,145072.0,8727.0,13094912.0,0.0,05-09 07:53:24,
java / 11755520:11762062,java / 11665408:0,java / 52%,java / 1249038336%,163.0,881.0,11927552.0,0.0,05-09 07:53:25,
java / 12746795:12753674,java / 12713984:0,java / 51%,java / 1261723648%,272.0,1506.0,12713984.0,0.0,05-09 07:53:26,
java / 12615680:12621089,java / 12582912:0,java / 50%,java / 1274699776%,217.0,1519.0,12582912.0,0.0,05-09 07:53:27,
java / 12349440:12356773,java / 12451840:0,java / 50%,java / 1292808192%,163.0,881.0,12189696.0,53248.0,05-09 07:53:28,
java / 10174507:10176593,java / 10092544:0,java / 52%,java / 1303183360%,272.0,1440.0,10092544.0,0.0,05-09 07:53:29,
java / 12414976:12422852,java / 12451840:0,java / 50%,java / 1317384192%,163.0,881.0,12713984.0,0.0,05-09 07:53:30,
java / 13803520:13810511,java / 13893632:0,java / 50%,java / 1328197632%,163.0,881.0,13631488.0,0.0,05-09 07:53:31,
java / 13344811:13348385,java / 13238272:0,java / 58%,java / 1338740736%,704.0,6774.0,13500416.0,0.0,05-09 07:53:32,
java / 12877824:12885405,java / 12865536:0,java / 49%,java / 1349554176%,163.0,881.0,12603392.0,12288.0,05-09 07:53:33,
java / 12546055:12554498,java / 12058624:0,java / 51%,java / 1368121344%,229.0,1013.0,12058624.0,0.0,05-09 07:53:34,
java / 14799018:14802680,java / 15454208:0,java / 51%,java / 1376198656%,145697.0,9769.0,15716352.0,0.0,05-09 07:53:35,
java / 15585280:15594644,java / 15466496:0,java / 51%,java / 1393922048%,163.0,881.0,15204352.0,0.0,05-09 07:53:36,
java / 14925824:14933854,java / 14811136:8192,java / 50%,java / 1404465152%,163.0,881.0,14815232.0,221184.0,05-09 07:53:37,
java / 14864427:14868202,java / 15073280:8192,java / 50%,java / 1415278592%,272.0,1448.0,15073280.0,0.0,05-09 07:53:38,
java / 13803520:13810511,java / 13762560:0,java / 53%,java / 1437618176%,163.0,889.0,13762560.0,81920.0,05-09 07:53:39,
java / 15257600:15264249,java / 15335424:0,java / 50%,java / 1445478400%,163.0,881.0,15335424.0,0.0,05-09 07:53:40,
java / 15585323:15595071,java / 15597568:0,java / 50%,java / 1456435200%,272.0,1440.0,15597568.0,0.0,05-09 07:53:41,
java / 14663680:14669538,java / 14438400:0,java / 49%,java / 1472655360%,463.0,4881.0,14700544.0,4096.0,05-09 07:53:42,
java / 14794752:14801696,java / 14680064:0,java / 49%,java / 1483198464%,163.0,881.0,14680064.0,0.0,05-09 07:53:43,
java / 13078705:13084114,java / 13357056:0,java / 48%,java / 1496485888%,145247.0,9270.0,13094912.0,0.0,05-09 07:53:44,
java / 14528512:14537380,java / 14548992:0,java / 49%,java / 1507049472%,163.0,881.0,14548992.0,61440.0,05-09 07:53:45,
java / 8323072:8325954,java / 8257536:0,java / 66%,java / 1518383104%,163.0,881.0,8257536.0,0.0,05-09 07:53:46,
java / 15650859:15661150,java / 15597568:0,java / 50%,java / 1529737216%,404.0,2692.0,15859712.0,16384.0,05-09 07:53:47,
java / 14336000:14339143,java / 14417920:0,java / 50%,java / 1543413760%,163.0,881.0,14155776.0,0.0,05-09 07:53:48,
java / 14659584:14669538,java / 14548992:0,java / 50%,java / 1556930560%,163.0,947.0,14548992.0,0.0,05-09 07:53:49,
java / 14004267:14009175,java / 14024704:0,java / 49%,java / 1572876288%,326.0,2078.0,14286848.0,36864.0,05-09 07:53:50,
java / 14135296:14140906,java / 14286848:0,java / 51%,java / 1583452160%,163.0,881.0,14024704.0,0.0,05-09 07:53:51,
java / 12349440:12356773,java / 12079104:0,java / 52%,java / 1603186688%,463.0,4881.0,12079104.0,0.0,05-09 07:53:52,
java / 14266411:14273491,java / 14155776:0,java / 50%,java / 1611034624%,272.0,1440.0,14155776.0,0.0,05-09 07:53:53,
java / 13742338:13745219,java / 14422016:4096,java / 51%,java / 1622659072%,11753.0,7881.0,14684160.0,0.0,05-09 07:53:54,
java / 14925824:14933854,java / 15073280:0,java / 49%,java / 1634553856%,163.0,889.0,14811136.0,0.0,05-09 07:53:55,
java / 15192107:15198597,java / 15073280:0,java / 49%,java / 1652998144%,272.0,1440.0,15335424.0,65536.0,05-09 07:53:56,
java / 14860288:14867775,java / 15073280:0,java / 49%,java / 1663541248%,163.0,881.0,14811136.0,8192.0,05-09 07:53:57,
java / 15454208:15462486,java / 15335424:0,java / 49%,java / 1674641408%,163.0,881.0,15335424.0,0.0,05-09 07:53:58,
java / 14135339:14141333,java / 14286848:0,java / 52%,java / 1691615232%,272.0,1440.0,14286848.0,0.0,05-09 07:53:59,
java / 13672448:13678353,java / 13500416:0,java / 52%,java / 1704353792%,205.0,923.0,13500416.0,0.0,05-09 07:54:00,
java / 13471744:13480116,java / 13369344:0,java / 49%,java / 1715642368%,163.0,881.0,13369344.0,24576.0,05-09 07:54:01,
java / 14532651:14537807,java / 14438400:0,java / 50%,java / 1728618496%,704.0,6774.0,14700544.0,0.0,05-09 07:54:02,
java / 13602950:13612319,java / 14012416:0,java / 49%,java / 1739169792%,145072.0,8727.0,13225984.0,0.0,05-09 07:54:03,
java / 15790204:15793623,java / 15880192:0,java / 50%,java / 1757011968%,1009.0,134462.0,16404480.0,0.0,05-09 07:54:04,
java / 15327400:15331497,java / 15351808:0,java / 49%,java / 1767825408%,1683.0,120559.0,15613952.0,0.0,05-09 07:54:05,
java / 14925824:14933854,java / 15073280:0,java / 49%,java / 1786748928%,163.0,881.0,14811136.0,69632.0,05-09 07:54:06,
java / 13406208:13414037,java / 13238272:8192,java / 52%,java / 1801498624%,163.0,881.0,13238272.0,69632.0,05-09 07:54:07,
java / 14266411:14273491,java / 14155776:8192,java / 49%,java / 1812213760%,362.0,1502.0,14417920.0,0.0,05-09 07:54:08,
java / 14004224:14008748,java / 14024704:0,java / 49%,java / 1825730560%,163.0,889.0,13762560.0,0.0,05-09 07:54:09,
java / 14598144:14603459,java / 14811136:0,java / 49%,java / 1836003328%,163.0,881.0,14811136.0,0.0,05-09 07:54:10,
java / 14528555:14537807,java / 14438400:0,java / 50%,java / 1852223488%,272.0,1358.0,14700544.0,36864.0,05-09 07:54:11,
java / 11423751:11431155,java / 10878976:0,java / 50%,java / 1865740288%,463.0,4947.0,10616832.0,118784.0,05-09 07:54:12,
java / 16580735:16586386,java / 17158144:0,java / 56%,java / 1876561920%,114207.0,9269.0,17420288.0,0.0,05-09 07:54:13,
java / 11956267:11960726,java / 11796480:0,java / 49%,java / 1889808384%,272.0,1358.0,11796480.0,0.0,05-09 07:54:14,
java / 11624448:11629904,java / 11665408:0,java / 54%,java / 1906589696%,163.0,881.0,11665408.0,0.0,05-09 07:54:15,
java / 13209600:13215800,java / 13500416:0,java / 50%,java / 1917964288%,163.0,881.0,13238272.0,0.0,05-09 07:54:16,
java / 14131243:14141333,java / 14024704:0,java / 50%,java / 1931481088%,404.0,2774.0,14024704.0,86016.0,05-09 07:54:17,
java / 14929920:14933854,java / 14811136:0,java / 50%,java / 1942294528%,163.0,881.0,15073280.0,0.0,05-09 07:54:18,
java / 15716352:15726802,java / 15728640:0,java / 50%,java / 1960947712%,163.0,881.0,15466496.0,0.0,05-09 07:54:19,
java / 11261266:91123736,java / 126976:91123712,java / 56%,java / 1976627200%,272.0,1440.0,11268096.0,0.0,05-09 07:54:20,
java / 13876590:15258130,java / 0:15261696,java / 52%,java / 1992577024%,205.0,931.0,13914112.0,0.0,05-09 07:54:21,
java / 12083207:12091945,java / 11534336:0,java / 53%,java / 2022125568%,463.0,4881.0,11534336.0,40960.0,05-09 07:54:22,
java / 134946522:7602940,java / 12193792:0,java / 56%,java / 2022285312%,80396.0,112299.0,12460032.0,0.0,05-09 07:54:23,
java / 15458304:15462486,java / 15597568:0,java / 51%,java / 2022486016%,163.0,881.0,15335424.0,0.0,05-09 07:54:24,
java / 14794752:14801696,java / 14811136:0,java / 50%,java / 2029838336%,163.0,881.0,14811136.0,0.0,05-09 07:54:25,
java / 14729259:14736044,java / 14811136:0,java / 50%,java / 2040111104%,272.0,1440.0,14811136.0,0.0,05-09 07:54:26,
java / 13537280:13546195,java / 13500416:0,java / 50%,java / 2053627904%,163.0,881.0,13500416.0,98304.0,05-09 07:54:27,
java / 13340672:13347958,java / 13238272:0,java / 49%,java / 2069037056%,163.0,881.0,13500416.0,0.0,05-09 07:54:28,
java / 15257643:15264676,java / 15204352:0,java / 49%,java / 2082013184%,272.0,1358.0,14942208.0,0.0,05-09 07:54:29,
java / 10242245:92337255,java / 0:92401664,java / 51%,java / 2100666368%,163.0,799.0,10366976.0,147968000.0,05-09 07:54:30,
java / 14331904:14339143,java / 14176256:0,java / 49%,java / 2116345856%,163.0,799.0,14176256.0,0.0,05-09 07:54:31,
java / 11762422:12175167,java / 0:12173312,java / 51%,java / 2135834624%,704.0,6692.0,11665408.0,0.0,05-09 07:54:32,
java / 134682634:7436125,java / 9814016:0,java / 55%,java / 2136080384%,145654.0,9342.0,9551872.0,90112.0,05-09 07:54:33,
java / 12943360:12951484,java / 12976128:0,java / 50%,java / 2136080384%,163.0,799.0,13107200.0,0.0,05-09 07:54:34,
java / 11427883:11432094,java / 11403264:0,java / 50%,java / 2136240128%,272.0,1506.0,11407360.0,101842944.0,05-09 07:54:35,
java / 11493376:11497746,java / 11272192:0,java / 50%,java / 2136240128%,217.0,1249.0,11534336.0,0.0,05-09 07:54:36,
java / 15122432:15132091,java / 15335424:0,java / 50%,java / 2136240128%,163.0,799.0,15073280.0,0.0,05-09 07:54:37,
java / 14995499:15000360,java / 15073280:0,java / 50%,java / 2136240128%,272.0,1358.0,15597568.0,73728.0,05-09 07:54:38,
java / 14131200:14140906,java / 14024704:0,java / 49%,java / 2136240128%,163.0,799.0,13500416.0,4096.0,05-09 07:54:39,
java / 11762062:86259609,java / 0:86261760,java / 50%,java / 2136240128%,163.0,881.0,11927552.0,0.0,05-09 07:54:40,
java / 13602859:13612701,java / 13631488:0,java / 50%,java / 2136240128%,272.0,1440.0,13369344.0,0.0,05-09 07:54:41,
java / 12746752:12753247,java / 12603392:0,java / 50%,java / 2136240128%,505.0,4923.0,12603392.0,0.0,05-09 07:54:42,
java / 14008748:13399027,java / 0:13414400,java / 51%,java / 2136264704%,1129.0,134594.0,7880704.0,29511680.0,05-09 07:54:43,
java / 136973315:2486282,java / 17027072:8192,java / 53%,java / 2136526848%,146027.0,10099.0,17289216.0,94208.0,05-09 07:54:44,
java / 14135296:14140906,java / 14155776:0,java / 50%,java / 2136526848%,163.0,889.0,13893632.0,0.0,05-09 07:54:45,
java / 14331904:14339143,java / 14286848:0,java / 49%,java / 2136526848%,163.0,881.0,14286848.0,0.0,05-09 07:54:46,
java / 13869099:13877017,java / 13762560:0,java / 49%,java / 2136526848%,404.0,2774.0,14024704.0,0.0,05-09 07:54:47,
java / 7925760:7929480,java / 8257536:0,java / 52%,java / 2136526848%,163.0,881.0,10096640.0,62914560.0,05-09 07:54:48,
java / 18956288:18964673,java / 18743296:0,java / 47%,java / 2136526848%,163.0,881.0,16908288.0,34066432.0,05-09 07:54:49,
java / 13744432:88326191,java / 0:88326144,java / 50%,java / 2136526848%,272.0,1440.0,13762560.0,4096.0,05-09 07:54:50,
java / 15519744:15528565,java / 15466496:0,java / 50%,java / 2136752128%,163.0,881.0,15466496.0,0.0,05-09 07:54:51,
java / 15589376:15594644,java / 15486976:0,java / 50%,java / 2136752128%,463.0,4881.0,15224832.0,0.0,05-09 07:54:52,
java / 61854322:12341162,java / 114688:12361728,java / 55%,java / 2137055232%,134119.0,2977.0,4440064.0,29523968.0,05-09 07:54:53,
java / 89216869:6986,java / 19255296:0,java / 50%,java / 2137055232%,11488.0,7461.0,19517440.0,0.0,05-09 07:54:54,
java / 12615680:12621089,java / 12320768:0,java / 50%,java / 2137055232%,163.0,881.0,12058624.0,0.0,05-09 07:54:55,
java / 14401704:14406391,java / 14565376:4096,java / 50%,java / 2136576000%,1263.0,135087.0,14827520.0,110592.0,05-09 07:54:56,
java / 15650816:15660723,java / 15859712:0,java / 50%,java / 2136489984%,163.0,889.0,15859712.0,0.0,05-09 07:54:57,
java / 6275072:6277505,java / 6422528:0,java / 42%,java / 2136489984%,163.0,947.0,6164480.0,61825024.0,05-09 07:54:58,
java / 20807723:20815312,java / 20578304:0,java / 50%,java / 2136489984%,326.0,1808.0,20316160.0,36282368.0,05-09 07:54:59,
java / 11431673:86138033,java / 0:86142976,java / 50%,java / 2130690048%,163.0,881.0,11927552.0,0.0,05-09 07:55:00,
java / 10572640:10720860,java / 0:10723328,java / 52%,java / 2134790144%,205.0,923.0,10518528.0,61440.0,05-09 07:55:01,
java / 13148327:13150890,java / 13144064:0,java / 50%,java / 2134790144%,1562.0,104966.0,13144064.0,0.0,05-09 07:55:02,
java / 11689984:11695983,java / 11796480:8192,java / 50%,java / 2134929408%,205.0,36246.0,11534336.0,10121216.0,05-09 07:55:03,
java / 137819310:9669527,java / 0:9682944,java / 54%,java / 2134929408%,114353.0,9499.0,10076160.0,19406848.0,05-09 07:55:04,
java / 13013035:13017990,java / 13238272:8192,java / 51%,java / 2134929408%,272.0,1440.0,12713984.0,0.0,05-09 07:55:05,
java / 14991360:14999933,java / 14811136:0,java / 52%,java / 2134659072%,163.0,889.0,15335424.0,86016.0,05-09 07:55:06,
java / 15519744:15528565,java / 15556608:0,java / 51%,java / 2134659072%,163.0,881.0,15294464.0,4096.0,05-09 07:55:07,
java / 12484651:12489358,java / 12582912:0,java / 51%,java / 2134659072%,272.0,1440.0,14422016.0,98603008.0,05-09 07:55:08,
java / 11515388:11523366,java / 10907648:0,java / 39%,java / 2134659072%,163.0,881.0,8810496.0,0.0,05-09 07:55:09,
java / 15720575:15727359,java / 16498688:0,java / 51%,java / 2134659072%,11776.0,8013.0,16236544.0,0.0,05-09 07:55:10,
java / 14929963:14934281,java / 14680064:0,java / 49%,java / 2134659072%,272.0,1440.0,14942208.0,0.0,05-09 07:55:11,
java / 15519744:15528565,java / 15597568:0,java / 50%,java / 2134659072%,463.0,4881.0,15597568.0,73728.0,05-09 07:55:12,
java / 12753247:44922960,java / 0:44924928,java / 50%,java / 2134659072%,163.0,881.0,12615680.0,0.0,05-09 07:55:13,
java / 12026378:13399163,java / 0:13398016,java / 51%,java / 2134724608%,272.0,1440.0,10117120.0,0.0,05-09 07:55:14,
java / 78474734:7306697,java / 14532608:0,java / 51%,java / 2134765568%,11755.0,7881.0,14794752.0,0.0,05-09 07:55:15,
java / 14598144:14603459,java / 14548992:0,java / 50%,java / 2134765568%,163.0,881.0,14811136.0,0.0,05-09 07:55:16,
java / 15323179:15330755,java / 15335424:0,java / 49%,java / 2134544384%,404.0,2774.0,15073280.0,0.0,05-09 07:55:17,
java / 15388672:15396407,java / 15220736:0,java / 50%,java / 2133000192%,163.0,881.0,14958592.0,73728.0,05-09 07:55:18,
java / 13546195:41999321,java / 0:42012672,java / 50%,java / 2131755008%,163.0,881.0,7725056.0,58916864.0,05-09 07:55:19,
java / 72759061:3531626,java / 18857984:8192,java / 50%,java / 2131230720%,11864.0,8440.0,19120128.0,0.0,05-09 07:55:20,
java / 15192064:15198170,java / 15073280:0,java / 50%,java / 2131230720%,163.0,955.0,15073280.0,0.0,05-09 07:55:21,
java / 15323136:15330328,java / 15212544:0,java / 51%,java / 2130862080%,517.0,5519.0,15212544.0,0.0,05-09 07:55:22,
