cpu process,memory process,recv,send,read,writ,time,input,output,binput,boutput
50,961130496,43471704,45542,0,0,02-09 14:53:58,43413903,0,0,12288
53,964386816,32657985,76239,495616,0,02-09 14:53:59,34376481,32340,475136,16384
38,965328896,92907,25631,25804800,0,02-09 14:54:00,24703099,24714103,25280512,0
51,978829312,272,1448,37486592,0,02-09 14:54:01,37650475,37665457,37748736,0
51,979640320,295,2223,39976960,0,02-09 14:54:02,39890944,39911716,39976960,0
50,980180992,1195,134578,32280576,81920,02-09 14:54:03,33157251,33171888,32542720,0
52,980697088,220855,209201,43745280,0,02-09 14:54:04,43401509,43415629,43220992,0
50,980697088,163,889,43122688,0,02-09 14:54:05,43524096,43546061,43646976,0
50,981508096,163,889,45240320,0,02-09 14:54:06,45309952,45330194,44978176,0
48,982048768,31219432,45347,2883584,0,02-09 14:54:07,39923608,6137,3145728,0
49,982589440,44912071,36247,0,61440,02-09 14:54:08,44140772,0,3145728,0
50,982855680,44708031,38549,0,0,02-09 14:54:09,44669764,3188,3145728,0
39,988049408,15347349,31278,0,0,02-09 14:54:10,18304720,16366,0,12288
1,988049408,3399,4515,0,0,02-09 14:54:11,4603,1321,0,12288
28,991539200,34801,4778,8192,4096,02-09 14:54:12,630375,3595,8192,0
94,995672064,46377,3400,0,0,02-09 14:54:13,9314470,9318123,8192,0
70,1014702080,163,865,0,106496,02-09 14:54:14,7266304,7268690,8192,0
53,1020641280,163,865,0,0,02-09 14:54:15,10833920,10836956,8192,0
55,1039564800,272,1424,0,0,02-09 14:54:16,10698795,10705225,8192,0
54,1058041856,295,2199,0,57344,02-09 14:54:17,8585216,8590270,0,12288
50,1061457920,163,889,0,0,02-09 14:54:18,9908224,9911850,0,12288
54,1087741952,572,5424,0,36864,02-09 14:54:19,10170411,10176593,0,8192
53,1108410368,163,889,0,0,02-09 14:54:20,8720384,8722428,0,8192
51,1129791488,163,865,0,0,02-09 14:54:21,10301440,10308324,0,8192
49,1143578624,272,1424,0,208896,02-09 14:54:22,10502187,10506988,0,20480
52,1158615040,229,1021,0,0,02-09 14:54:23,9379840,9383218,0,20480
50,1172066304,163,865,0,32768,02-09 14:54:24,9179136,9184981,0,20480
50,1193422848,272,1424,0,0,02-09 14:54:25,8851499,8855013,0,20480
51,1208561664,163,865,0,0,02-09 14:54:26,9510912,9515376,0,20480
55,1223864320,163,865,0,40960,02-09 14:54:27,7466927,0,0,20480
64,1234513920,14726,8878,131072,0,02-09 14:54:28,16515364,16520748,131072,16384
51,1243164672,2803,226986,0,0,02-09 14:54:29,9715836,9714355,0,4096
50,1258696704,163,889,0,77824,02-09 14:54:30,10039296,10044008,0,4096
50,1269780480,272,1424,0,0,02-09 14:54:31,9445419,9449724,0,4096
52,1294430208,295,2199,0,8192,02-09 14:54:32,9375744,9383218,0,4096
54,1312608256,163,931,0,0,02-09 14:54:33,8060928,8061638,0,4096
50,1333690368,326,2078,0,0,02-09 14:54:34,9510955,9515803,0,4096
50,1347477504,163,865,0,0,02-09 14:54:35,8388608,8392033,0,4096
52,1362780160,163,865,0,32768,02-09 14:54:36,7262208,7268690,0,4096
50,1370324992,272,1424,0,0,02-09 14:54:37,8388651,8392460,0,4096
50,1370865664,229,997,0,0,02-09 14:54:38,8388608,8392033,0,4096
51,1384382464,463,4865,0,0,02-09 14:54:39,9314304,9317139,0,4096
50,1411956736,272,1424,0,0,02-09 14:54:40,9838635,9846198,0,4096
52,1448431616,561,1207,0,36864,02-09 14:54:41,8519680,8524191,0,4096
50,1462214656,163,865,0,0,02-09 14:54:42,8056839,8061126,0,4096
67,1475809280,221289,10751,0,0,02-09 14:54:43,12091561,12093441,0,20480
50,1489326080,163,889,0,0,02-09 14:54:44,10567680,10572640,0,20480
50,1509056512,163,865,0,0,02-09 14:54:45,10170368,10176166,0,20480
49,1523113984,314,1466,0,102400,02-09 14:54:46,10829867,10837383,0,20480
56,1546059776,295,2199,0,45056,02-09 14:54:47,7598080,7599085,0,12288
50,1553604608,163,889,0,0,02-09 14:54:48,8454144,8458112,0,12288
51,1569013760,572,5424,0,0,02-09 14:54:49,8585259,8590697,0,8192
50,1590370304,163,799,0,0,02-09 14:54:50,9842688,9845771,0,8192
51,1603887104,163,775,0,0,02-09 14:54:51,9641984,9647534,0,8192
49,1625243648,272,1334,0,40960,02-09 14:54:52,10436651,10440909,0,16384
51,1642565632,229,1021,0,0,02-09 14:54:53,8187904,8193796,0,4096
50,1657765888,163,889,0,0,02-09 14:54:54,9641984,9647534,0,4096
48,1673175040,1544,116722,0,0,02-09 14:54:55,10240167,10243414,0,4096
50,1694261248,163,955,0,0,02-09 14:54:56,9179143,9184469,0,4096
52,1709666304,223024,10372,0,143360,02-09 14:54:57,11100286,11101829,0,12288
49,1724801024,272,1448,0,0,02-09 14:54:58,10301483,10308751,0,12288
63,1750745088,463,4865,0,0,02-09 14:54:59,7663616,7665164,0,12288
52,1757675520,163,865,0,0,02-09 14:55:00,8847360,8854586,0,12288
49,1772814336,1316,105538,0,0,02-09 14:55:01,9777319,9780861,0,4096
50,1788223488,295,2223,0,102400,02-09 14:55:02,8982528,8986744,0,4096
51,1803362304,163,865,0,0,02-09 14:55:03,9314304,9317139,0,4096
50,1824718848,272,1424,0,0,02-09 14:55:04,9379883,9383645,0,4096
51,1839857664,163,865,0,0,02-09 14:55:05,9576448,9581455,0,4096
52,1865490432,163,865,0,0,02-09 14:55:06,8388608,8392033,0,4096
50,1873453056,338,1556,0,0,02-09 14:55:07,8982571,8987171,0,4096
49,1888591872,163,865,0,12288,02-09 14:55:08,9375744,9383218,0,4096
50,1903730688,463,4865,0,0,02-09 14:55:09,9117696,9118902,0,4096
49,1917751296,272,1424,0,0,02-09 14:55:10,9179179,9185408,0,4096
49,1933070336,163,865,0,0,02-09 14:55:11,5677063,5682282,0,4096
54,1948491776,181727,9744,0,4096,02-09 14:55:12,11231358,11233987,0,16384
49,1963089920,163,971,0,69632,02-09 14:55:13,8585259,8590697,0,16384
50,1984987136,538,1778,0,0,02-09 14:55:14,9711616,9713613,0,40960
72,1995902976,54,66,0,0,02-09 14:55:15,4292608,4295135,0,40960
64,2006540288,2348,181441,28672,0,02-09 14:55:16,8345866,59283049,28672,59285504
50,2023301120,295,34639,8192,25370624,02-09 14:55:17,9184981,15199376,0,15220736
50,2056552448,163,2157,0,86016,02-09 14:55:18,9911850,16280244,0,16277504
49,2073042944,572,5514,4096,0,02-09 14:55:19,9978289,17168824,0,17166336
51,2091155456,217,1519,0,0,02-09 14:55:20,10572640,16722516,0,16723968
50,2118496256,163,889,0,25280512,02-09 14:55:21,9052823,16722652,0,16736256
50,2122117120,338,1580,0,0,02-09 14:55:22,9581455,15199889,0,15204352
49,2122117120,205,931,0,110841856,02-09 14:55:23,8127717,13684404,0,13688832
50,2135953408,163,889,0,0,02-09 14:55:24,10440482,18237680,0,18239488
50,2154065920,272,1448,0,0,02-09 14:55:25,10242251,18245872,0,18243584
72,2236841984,495,1382,0,0,02-09 14:55:26,218443256,7550902,0,7565312
58,2237259776,34976,9551,28672,0,02-09 14:55:27,46664,3704,28672,0
63,2236489728,9408,5145,0,94208,02-09 14:55:28,24563,345,28672,0
55,2234630144,18736,15645,0,0,02-09 14:55:29,17981,14334,0,4096
51,2234179584,9234,6254,8192,0,02-09 14:55:30,81076043,46791,8192,40960
51,2238480384,38724,12728,81920,0,02-09 14:55:31,134413914,7698,81920,0
57,2232590336,9463,6337,0,0,02-09 14:55:32,9164,35710,0,65536
51,2230534144,9331,6345,0,167936,02-09 14:55:33,9164,36614,0,65536
61,2229768192,20206,12674,0,0,02-09 14:55:34,51709850,73008,0,135168
48,2239270912,229,2623,0,0,02-09 14:55:35,162595235,33261,0,61440
12,2239807488,93856,54449,65536,0,02-09 14:55:36,350958,36204,65536,0
52,2247553024,53602,55129,2813952,0,02-09 14:55:37,1698959,55709,2777088,0
51,2255941632,961,2200,2113536,51122176,02-09 14:55:38,1746967,84076256,2150400,84099072
34,2256003072,729,5067,0,153911296,02-09 14:55:39,432,143436203,0,143478784
61,2284568576,272,1448,0,0,02-09 14:55:40,205412,0,0,8192
67,2133721088,163,881,0,0,02-09 14:55:41,43,345,0,8192
34,2133753856,429,1357,0,214958080,02-09 14:55:42,328,230671743,0,230723584
66,2134859776,2700,3913,28672,131072,02-09 14:55:43,24563,345,28672,0
73,2127486976,163,889,0,0,02-09 14:55:44,43,345,28672,0
74,2103574528,10123,7899,16384,0,02-09 14:55:45,172216099,1937864,16384,1953792
60,2103705600,272,1448,0,92549120,02-09 14:55:46,0,129190868,0,129200128
48,2103705600,561,2641,0,146907136,02-09 14:55:47,35201350,118709490,0,118738944
65,2085830656,163,889,0,0,02-09 14:55:48,20393621,199,0,8192
56,2078986240,572,5200,0,110592,02-09 14:55:49,24563,345,0,8192
35,2067931136,163,889,0,128557056,02-09 14:55:50,0,130677602,0,130707456
56,2064699392,429,1218,0,170098688,02-09 14:55:51,328,99132112,0,99151872
82,2064703488,538,1874,0,34263040,02-09 14:55:52,24564,345,0,8192
69,2064896000,163,799,0,0,02-09 14:55:53,43,345,0,8192
44,2065068032,9657,7025,13619200,86016,02-09 14:55:54,27255820,30285,13746176,32768
17,2062569472,272,1448,59703296,0,02-09 14:55:55,118661120,0,59277312,0
43,2051796992,429,1228,12791808,0,02-09 14:55:56,25887496,104730526,13090816,104738816
52,2051772416,163,889,0,117686272,02-09 14:55:57,0,123531416,0,123572224
38,2051772416,538,1866,29315072,29405184,02-09 14:55:58,58893451,20209605,29315072,20234240
76,2070462464,163,889,0,110592,02-09 14:55:59,10271,345,29315072,20234240
55,2057601024,463,4527,0,0,02-09 14:56:00,360,3556,29315072,20234240
42,2057547776,538,1850,81920,186789888,02-09 14:56:01,326,228498897,4096,228544512
57,2043568128,561,2567,139264,45101056,02-09 14:56:02,20845,345,139264,4096
51,2053500928,163,807,0,0,02-09 14:56:03,43,345,139264,4096
23,2053005312,9701,7494,43581440,0,02-09 14:56:04,85468175,30310,42827776,28672
32,2053005312,163,955,42409984,69337088,02-09 14:56:05,86319104,41693101,43163648,41701376
52,2053005312,217,1257,0,36691968,02-09 14:56:06,0,111503900,0,111521792
44,2053005312,538,1776,15675392,139616256,02-09 14:56:07,30294342,98877714,15130624,98914304
62,2102140928,163,889,13205504,0,02-09 14:56:08,27737077,201,13750272,4096
54,2102108160,463,4559,0,0,02-09 14:56:09,360,3556,13750272,4096
65,2100183040,580,1802,0,77824,02-09 14:56:10,3763,345,0,8192
61,2100183040,429,1226,4096,0,02-09 14:56:11,20843,345,4096,0
94,2100183040,163,889,0,20971520,02-09 14:56:12,43,345,4096,0
50,2100666368,272,1334,151552,84303872,02-09 14:56:13,3763,345,151552,0
46,2110775296,9592,7049,171991040,0,02-09 14:56:14,171787279,26345059,171991040,26345472
49,2110750720,163,807,0,59015168,02-09 14:56:15,0,138864948,0,138883072
49,2110746624,538,1777,42340352,88170496,02-09 14:56:16,42508777,85948706,42340352,85987328
58,2120429568,295,873,0,0,02-09 14:56:17,20843,345,0,4096
84,2120757248,163,2157,0,0,02-09 14:56:18,43,345,0,4096
56,2120937472,838,5602,0,0,02-09 14:56:19,686,4049,0,8192
58,2120921088,429,1316,4096,53248,02-09 14:56:20,23312,345,4096,4096
51,2121994240,151233,120908,2867200,104333312,02-09 14:56:21,1275556,133421,2600960,28672
55,2122108928,272,1448,101511168,0,02-09 14:56:22,101122048,0,101117952,0
52,2122104832,429,1308,117178368,0,02-09 14:56:23,117711176,497,117833728,0
72,2205859840,2304,2208,30044160,0,02-09 14:56:24,30294962,1333,30044160,0
96,2335334400,272,1448,0,57344,02-09 14:56:25,43,427,30044160,0
63,2335420416,163,865,0,0,02-09 14:56:26,24563,345,30044160,0
50,2335420416,9313,4866,43343872,0,02-09 14:56:27,42222522,40687,42508288,45056
53,2335420416,538,3609,109981696,0,02-09 14:56:28,114630984,497,110505984,0
59,2335420416,517,5271,8544256,0,02-09 14:56:29,17351016,3976,8544256,0
49,2335399936,163,889,14893056,0,02-09 14:56:30,29450240,0,14630912,0
47,2320736256,9422,5441,28921856,53248,02-09 14:56:31,57907993,39042,28823552,40960
46,2320736256,295,2702,41353216,0,02-09 14:56:32,83861504,0,41713664,0
49,2320736256,163,2070,38400000,0,02-09 14:56:33,77258752,420,38400000,0
76,2339356672,272,1448,0,0,02-09 14:56:34,3763,345,38400000,0
95,2339356672,163,775,0,0,02-09 14:56:35,20843,345,38400000,0
56,2339467264,163,775,8744960,49152,02-09 14:56:36,17047552,0,8425472,0
46,2339467264,272,1440,26906624,0,02-09 14:56:37,54484992,0,27197440,0
50,2339467264,9380,4882,37531648,0,02-09 14:56:38,74407006,39553,37240832,40960
54,2339467264,463,6309,35799040,0,02-09 14:56:39,72221034,3558,35872768,0
57,2339528704,272,1358,16592896,0,02-09 14:56:40,33923072,423,16838656,0
49,2336362496,163,889,10571776,0,02-09 14:56:41,20463616,0,10166272,0
48,2321129472,163,881,27254784,86016,02-09 14:56:42,55418880,0,27516928,0
54,2291183616,9489,7109,499712,0,02-09 14:56:43,1063654,35010,499712,36864
52,2268459008,187016,170094,794624,0,02-09 14:56:44,340645,188723,794624,45056
51,2266886144,163,1689,0,0,02-09 14:56:45,43,345,794624,45056
51,2246397952,272,1424,0,77824,02-09 14:56:46,43,427,0,8192
50,2246467584,9445,6624,5009408,0,02-09 14:56:47,96974659,46095,5009408,61440
56,2246963200,163,2157,12791808,98304,02-09 14:56:48,77234176,420,12791808,4096
57,2247155712,572,5200,0,0,02-09 14:56:49,360,3556,0,8192
54,2309148672,163,889,11853824,0,02-09 14:56:50,23126016,0,11665408,0
47,2309148672,163,947,24190976,192512,02-09 14:56:51,48103424,0,24174592,0
49,2309148672,9476,7739,1286144,0,02-09 14:56:52,123689753,44194,1486848,45056
55,2309148672,163,889,0,73728,02-09 14:56:53,53559296,420,1486848,45056
58,2342862848,163,865,0,0,02-09 14:56:54,43,345,1486848,45056
52,2342862848,272,1424,13795328,0,02-09 14:56:55,27623424,0,13795328,0
49,2343096320,9356,6616,4947968,0,02-09 14:56:56,50265182,44341,4947968,49152
55,2343096320,163,865,0,0,02-09 14:56:57,116187136,0,4947968,49152
60,2343096320,272,1416,0,45056,02-09 14:56:58,58007552,423,4947968,49152
57,2343096320,463,4617,0,0,02-09 14:56:59,24563,345,4947968,49152
50,2343096320,229,1163,0,0,02-09 14:57:00,45817856,0,4947968,49152
50,2343096320,9423,5417,0,40960,02-09 14:57:01,31128294,39896,0,40960
49,2343096320,295,2623,0,0,02-09 14:57:02,24563,345,0,40960
33,2343096320,229,2199,4096,65536,02-09 14:57:03,258,42158,4096,45056
14,2343329792,208650,188390,512000,0,02-09 14:57:04,791677,168750,331776,4096
49,2343411712,163,889,0,0,02-09 14:57:05,24563,345,331776,4096
50,2343411712,163,865,0,40960,02-09 14:57:06,43,345,331776,4096
59,2343440384,9422,5425,4096,0,02-09 14:57:07,15558406,53249,4096,53248
57,2343477248,163,2557,0,61440,02-09 14:57:08,117153792,0,4096,53248
58,2345734144,463,4609,2850816,0,02-09 14:57:09,52559080,3976,2850816,0
95,2361987072,272,1448,0,0,02-09 14:57:10,43,427,2850816,0
60,2359926784,163,865,0,40960,02-09 14:57:11,24563,345,2850816,0
51,2359398400,163,865,0,0,02-09 14:57:12,23052288,0,2850816,0
50,2342412288,9422,5417,0,0,02-09 14:57:13,51321497,50951,0,53248
52,2342412288,163,2623,0,53248,02-09 14:57:14,120152064,0,0,53248
57,2371059712,217,1495,0,0,02-09 14:57:15,53952512,420,0,53248
57,2371059712,272,1424,131072,139264,02-09 14:57:16,43,427,131072,8192
49,2371059712,295,955,0,0,02-09 14:57:17,32579584,0,0,8192
50,2371059712,9314,6150,8192,0,02-09 14:57:18,57007070,50840,8192,57344
51,2371059712,572,6868,0,0,02-09 14:57:19,132727016,3556,0,8192
56,2371059712,163,889,0,69632,02-09 14:57:20,29769728,423,0,4096
58,2371059712,163,889,0,57344,02-09 14:57:21,43,345,0,4096
49,2371059712,272,1424,0,0,02-09 14:57:22,38969344,0,0,4096
52,2371162112,9314,4858,0,0,02-09 14:57:23,37976678,46163,0,49152
49,2353360896,163,2557,0,0,02-09 14:57:24,43,345,0,49152
50,2344955904,272,1424,0,69632,02-09 14:57:25,43,427,0,49152
13,2344955904,229,931,0,139264,02-09 14:57:26,130,48862,0,53248
39,2321580032,239588,209992,147456,0,02-09 14:57:27,446151,190648,147456,4096
49,2309500928,272,1448,0,0,02-09 14:57:28,43,427,147456,4096
50,2287435776,529,4915,0,0,02-09 14:57:29,24563,345,147456,4096
50,2271150080,9313,4866,0,69632,02-09 14:57:30,67189818,64297,0,65536
56,2271150080,272,3116,0,86016,02-09 14:57:31,107257856,420,0,4096
60,2271297536,295,955,0,0,02-09 14:57:32,24563,345,0,4096
60,2341081088,163,2133,0,0,02-09 14:57:33,43,345,0,4096
50,2341081088,272,1424,0,0,02-09 14:57:34,30416896,0,0,4096
50,2341093376,9313,4858,0,53248,02-09 14:57:35,44292761,61298,0,61440
52,2341093376,163,2557,0,45056,02-09 14:57:36,123871232,0,0,61440
58,2360684544,272,1482,0,0,02-09 14:57:37,49897472,420,0,61440
59,2360684544,217,1495,0,0,02-09 14:57:38,24563,345,0,61440
64,2381324288,163,865,0,0,02-09 14:57:39,43,345,0,61440
96,2382086144,272,1424,0,0,02-09 14:57:40,43,427,0,61440
57,2382340096,463,4617,0,106496,02-09 14:57:41,34488552,3556,0,61440
50,2382548992,9314,4945,4096,0,02-09 14:57:42,51608542,61409,4096,61440
53,2382548992,272,3037,0,0,02-09 14:57:43,125353984,0,4096,61440
55,2382548992,205,899,0,0,02-09 14:57:44,40632320,423,4096,61440
58,2382548992,163,865,0,0,02-09 14:57:45,43,345,4096,61440
53,2382548992,272,1424,0,163840,02-09 14:57:46,17203200,0,0,8192
50,2382548992,295,947,0,0,02-09 14:57:47,47849472,0,0,8192
50,2382622720,9380,6150,0,0,02-09 14:57:48,11893350,55734,0,61440
50,2382618624,572,6868,0,0,02-09 14:57:49,232,3556,0,8192
50,2367127552,163,889,0,0,02-09 14:57:50,24563,345,0,8192
22,2367451136,195003,254464,466944,217088,02-09 14:57:51,458885,294815,466944,65536
1,2367451136,58676,5113,937984,0,02-09 14:57:52,100734,2893,884736,0
57,2299240448,4350,2147,15400960,0,02-09 14:57:53,14467195,14471858,14929920,0
49,2263519232,163,889,9306112,0,02-09 14:57:54,9314304,9317139,9306112,0
50,2249334784,272,1448,9568256,0,02-09 14:57:55,9375787,9383645,9568256,0
51,2249388032,163,889,8912896,110592,02-09 14:57:56,8785920,8788507,8650752,0
51,2268856320,163,889,9568256,49152,02-09 14:57:57,9707520,9713613,9830400,0
53,2337931264,272,1448,10223616,0,02-09 14:57:58,10436651,10440909,10223616,0
52,2360369152,463,4641,10878976,0,02-09 14:57:59,10698752,10704798,10878976,0
49,2366316544,163,955,11141120,0,02-09 14:58:00,11030528,11035193,11141120,0
50,2366316544,326,2078,10485760,241664,02-09 14:58:01,10567723,10573067,10485760,0
50,2366857216,295,955,9306112,0,02-09 14:58:02,9379840,9383218,9306112,0
51,2366857216,229,2289,9175040,36864,02-09 14:58:03,9314304,9317139,9175040,0
50,2366857216,272,1448,9195520,0,02-09 14:58:04,9048107,9053250,9195520,0
51,2367008768,163,889,8650752,0,02-09 14:58:05,8650752,8656349,8388608,0
51,2367819776,163,889,3932160,61440,02-09 14:58:06,9317139,0,4194304,0
66,2369277952,1516,99780,892928,0,02-09 14:58:07,2254577,637,679936,4096
51,2369372160,13500,7816,10977280,49152,02-09 14:58:08,11231355,11233987,10977280,0
49,2369372160,463,4641,10354688,0,02-09 14:58:09,10039296,10044008,10354688,0
50,2375860224,272,1448,10616832,0,02-09 14:58:10,10698795,10705225,10616832,0
50,2378022912,163,889,10485760,0,02-09 14:58:11,10698752,10704798,10485760,0
50,2380726272,163,889,10092544,0,02-09 14:58:12,9842688,9845771,10092544,0
51,2386673664,272,1448,9437184,45056,02-09 14:58:13,9510955,9515803,9437184,0
50,2394783744,163,889,8781824,0,02-09 14:58:14,8916992,8920665,8781824,0
50,2394783744,163,889,9175040,0,02-09 14:58:15,9244672,9251060,9175040,0
51,2394783744,272,1448,9306112,299008,02-09 14:58:16,9052203,9053250,9306112,8192
49,2394783744,295,955,8388608,0,02-09 14:58:17,8650752,8656349,8388608,0
51,2394787840,229,2289,9043968,0,02-09 14:58:18,8650752,8656349,8781824,0
50,2394787840,572,5200,8126464,57344,02-09 14:58:19,8519723,8524618,8388608,8192
50,2394214400,163,889,8933376,0,02-09 14:58:20,8720384,8722428,8671232,0
50,2394214400,163,889,9961472,0,02-09 14:58:21,10039296,10044008,9961472,0
57,2394230784,135540,3356,917504,0,02-09 14:58:22,8524434,484,1179648,0
51,2394230784,9591,7139,0,0,02-09 14:58:23,24563,345,0,8192
50,2394349568,4126,1992,17551360,49152,02-09 14:58:24,16912507,16916781,17551360,0
51,2394349568,272,1448,9961472,0,02-09 14:58:25,10170411,10176593,9961472,0
50,2394349568,163,889,10354688,0,02-09 14:58:26,10170368,10176166,10354688,0
50,2394349568,163,889,10223616,0,02-09 14:58:27,10240000,10242245,10223616,0
50,2393825280,272,1448,10354688,0,02-09 14:58:28,10301483,10308751,10354688,0
50,2393825280,463,4641,10616832,16384,02-09 14:58:29,10567680,10572640,10616832,0
50,2393825280,163,889,10223616,0,02-09 14:58:30,10436608,10440482,10223616,0
51,2393825280,314,1490,10354688,0,02-09 14:58:31,10235947,10242672,10354688,0
50,2399502336,295,955,10616832,0,02-09 14:58:32,10567680,10572640,10616832,0
50,2410315776,163,2157,10223616,0,02-09 14:58:33,10305536,10308324,10223616,0
58,1815474176,338,1580,7622656,0,02-09 14:58:34,7528491,7533433,7360512,0
50,1815474176,163,889,11010048,12288,02-09 14:58:35,11227136,11233430,11272192,0
49,1812320256,1195,87722,6160384,0,02-09 14:58:36,6803587,6806367,6160384,4096
50,1809690624,114504,39782,0,0,02-09 14:58:37,2775562,485,6160384,4096
51,1809879040,16685,106493,13221888,0,02-09 14:58:38,13082871,13084941,13221888,0
50,1809883136,463,34131,9306112,0,02-09 14:58:39,9244672,9251060,9306112,0
50,1809883136,272,1448,10092544,49152,02-09 14:58:40,9842731,9846198,9830400,0
50,1809883136,205,955,8388608,0,02-09 14:58:41,8716288,8722428,8650752,0
51,1809887232,163,865,9568256,0,02-09 14:58:42,9183232,9184981,9306112,0
51,1809887232,272,1448,8650752,0,02-09 14:58:43,8781867,8788934,8650752,0
50,1812389888,163,889,10092544,0,02-09 14:58:44,10039296,10044008,10092544,0
51,1812389888,163,889,9699328,53248,02-09 14:58:45,9777152,9779692,9699328,0
49,1812389888,272,1514,10354688,61440,02-09 14:58:46,10567723,10573067,10616832,8192
50,1812389888,349,1323,10616832,0,02-09 14:58:47,10436608,10440482,10616832,0
