"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cluster7-worker7-2",,,,"User:","ubuntu"
"Cmdline:","dstat --top-io --top-bio --top-cpu --top-mem --net --disk --output /home/ubuntu/Cloud/OpenStack/resourceUsage/RFBot-core2.csv -t 1",,,,"Date:","05 Sep 2019 06:42:30 UTC"

"most expensive","most expensive","most expensive","most expensive","net/total",,"dsk/total",,"system"
"i/o process","block i/o process","cpu process","memory process","recv","send","read","writ","time"
java / 27753180:10720684,java / 0:10719232,java / 95%,java / 2292838400%,28114853.0,33700.0,978944.0,98304.0,05-09 06:45:44,
java / 26035126:13399003,java / 0:13398016,java / 92%,java / 2292838400%,26039573.0,28777.0,0.0,0.0,05-09 06:45:45,
java / 24977862:56283009,java / 0:56307712,java / 97%,java / 2292838400%,24774650.0,28339.0,0.0,53039104.0,05-09 06:45:46,
java / 22136465:21147405,java / 0:21159936,java / 94%,java / 2292842496%,22592792.0,25390.0,4096.0,21487616.0,05-09 06:45:47,
java / 23128193:21441387,java / 0:21446656,java / 93%,java / 2292797440%,22368396.0,22819.0,0.0,45654016.0,05-09 06:45:48,
java / 24250450:21441720,java / 0:21438464,java / 95%,java / 2310778880%,25863590.0,26917.0,0.0,86016.0,05-09 06:45:49,
java / 143164622:17480630,java / 40960:17489920,java / 94%,java / 2334969856%,19470345.0,35176.0,331776.0,0.0,05-09 06:45:50,
java / 19561187:8042693,java / 385024:8044544,java / 93%,java / 2337607680%,19779955.0,20653.0,528384.0,94965760.0,05-09 06:45:51,
java / 25770810:13399027,java / 0:13398016,java / 97%,java / 2341445632%,25354426.0,30509.0,0.0,0.0,05-09 06:45:52,
java / 51309401:12118014,java / 0:12120064,java / 96%,java / 2341445632%,25942042.0,28972.0,0.0,0.0,05-09 06:45:53,
java / 114715209:43553975,java / 81920:43565056,java / 77%,java / 2341523456%,18328543.0,25669.0,81920.0,131072.0,05-09 06:45:54,
java / 27554943:10720860,java / 0:10719232,java / 96%,java / 2339549184%,27813608.0,29203.0,0.0,0.0,05-09 06:45:55,
java / 27356706:10720860,java / 0:10739712,java / 97%,java / 2339024896%,27111945.0,29150.0,12288.0,31105024.0,05-09 06:45:56,
java / 26960232:13399027,java / 0:13398016,java / 97%,java / 2339024896%,27473776.0,29941.0,0.0,0.0,05-09 06:45:57,
java / 23524124:61475282,java / 0:61501440,java / 91%,java / 2339004416%,23056776.0,290347.0,950272.0,100732928.0,05-09 06:45:58,
java / 21541754:21441720,java / 0:21442560,java / 84%,java / 2339082240%,21774401.0,22400.0,0.0,98304.0,05-09 06:45:59,
java / 28017856:21447774,java / 0:21442560,java / 95%,java / 2339237888%,28002187.0,36389.0,0.0,0.0,05-09 06:46:00,
java / 140215593:20990240,java / 180224:21008384,java / 95%,java / 2339237888%,22191327.0,32948.0,184320.0,97718272.0,05-09 06:46:01,
