Dstat 0.7.0 CSV output,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,
2019/9/10 23:55,1.003,0.251,98.747,0,0,0,0,237568,1738874880,90660864,2405457920,4154929152,6261,4364
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,32768,1738874880,90660864,2405457920,4154929152,4676,2396
2019/9/10 23:55,1.005,0,98.995,0,0,0,0,8192,1740955648,90660864,2405457920,4152848384,5414,3021
2019/9/10 23:55,0.503,0.503,98.744,0.251,0,0,0,57344,1740828672,90660864,2405474304,4152958976,7496,7982
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1740828672,90660864,2405490688,4152942592,9191,11981
2019/9/10 23:55,0.252,0,99.748,0,0,0,0,196608,1740824576,90660864,2405494784,4152942592,2879,1637
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1740824576,90660864,2405494784,4152942592,5944,11977
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1740824576,90660864,2405494784,4152942592,3423,1745
2019/9/10 23:55,0.251,0.251,99.497,0,0,0,0,0,1740808192,90660864,2405494784,4152958976,3233,2106
2019/9/10 23:55,0.251,0.501,98.747,0.501,0,0,0,106496,1740775424,90660864,2405494784,4152991744,5737,3523
2019/9/10 23:55,0.503,0.251,99.246,0,0,0,0,49152,1740648448,90660864,2405494784,4153118720,4294,2187
2019/9/10 23:55,0.752,0.501,98.747,0,0,0,0,0,1740648448,90660864,2405494784,4153118720,8973,17189
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1740644352,90660864,2405498880,4153118720,10565,64491
2019/9/10 23:55,0.5,0.25,99,0,0,0.25,0,0,1740627968,90660864,2405498880,4153135104,3489,1877
2019/9/10 23:55,0.501,0.251,99.248,0,0,0,0,0,1740611584,90660864,2405498880,4153151488,3407,1901
2019/9/10 23:55,0.503,0,98.995,0.503,0,0,0,49152,1740738560,90660864,2405498880,4153024512,5089,2125
2019/9/10 23:55,0.503,0.251,99.246,0,0,0,0,0,1740734464,90660864,2405502976,4153024512,3705,2177
2019/9/10 23:55,0.5,0.25,99.25,0,0,0,0,0,1740734464,90660864,2405502976,4153024512,4021,1910
2019/9/10 23:55,0.752,0,99.248,0,0,0,0,0,1740607488,90660864,2405502976,4153151488,6486,3197
2019/9/10 23:56,0.754,0.251,98.995,0,0,0,0,24576,1740599296,90660864,2405511168,4153151488,4645,2861
2019/9/10 23:56,0.251,0.251,98.747,0.752,0,0,0,81920,1740496896,90660864,2405519360,4153245696,6830,2846
2019/9/10 23:56,1.003,0.501,98.496,0,0,0,0,245760,1740488704,90660864,2405527552,4153245696,29076,16664
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,8192,1740472320,90660864,2405543936,4153245696,3700,2077
2019/9/10 23:56,5.051,1.01,93.939,0,0,0,0,163840,1774477312,90660864,2405548032,4119236608,25210,657275
2019/9/10 23:56,0.752,0.251,98.997,0,0,0,0,0,1774436352,90660864,2405556224,4119269376,6888,12394
2019/9/10 23:56,0.251,0.251,98.995,0.503,0,0,0,49152,1774444544,90660864,2405564416,4119252992,2615,1464
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1774444544,90660864,2405564416,4119252992,4696,4056
2019/9/10 23:56,0.501,0.501,98.997,0,0,0,0,40960,1774571520,90660864,2405564416,4119126016,7052,4071
2019/9/10 23:56,0.503,0.251,99.246,0,0,0,0,8192,1774583808,90660864,2405568512,4119109632,6934,3995
2019/9/10 23:56,0.75,0.5,98.75,0,0,0,0,0,1774714880,90660864,2405580800,4118966272,9130,15455
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,8192,1774686208,90660864,2405593088,4118982656,4737,2330
2019/9/10 23:56,0.251,0.251,98.997,0.501,0,0,0,40960,1774686208,90660864,2405593088,4118982656,2675,1573
2019/9/10 23:56,0.251,0,99.749,0,0,0,0,0,1774682112,90660864,2405597184,4118982656,2770,1796
2019/9/10 23:56,0.752,1.003,98.246,0,0,0,0,0,1776418816,90660864,2405597184,4117245952,7485,7688
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1776635904,90660864,2405597184,4117028864,5027,22315
2019/9/10 23:56,0.754,0.251,98.995,0,0,0,0,270336,1775620096,90660864,2405597184,4118044672,7785,18183
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1775312896,90660864,2405601280,4118347776,8246,23596
2019/9/10 23:56,0.503,0.251,98.492,0.754,0,0,0,172032,1775312896,90660864,2405601280,4118347776,8427,13787
2019/9/10 23:56,0.501,0.501,98.997,0,0,0,0,0,1775288320,90660864,2405609472,4118364160,6535,42850
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775128576,90660864,2405609472,4118523904,5709,2731
2019/9/10 23:56,0.499,0.499,99.002,0,0,0,0,90112,1775243264,90660864,2405613568,4118405120,3694,1920
2019/9/10 23:56,0.752,0.251,98.747,0,0,0.251,0,0,1775230976,90660864,2405617664,4118413312,2885,1893
2019/9/10 23:56,0.252,0,99.748,0,0,0,0,0,1775230976,90660864,2405617664,4118413312,4462,1981
2019/9/10 23:56,0.5,0.25,95.75,3.5,0,0,0,65536,1775222784,90660864,2405617664,4118421504,5089,2395
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1775091712,90660864,2405621760,4118548480,3095,1786
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1775091712,90660864,2405621760,4118548480,5090,2560
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775075328,90660864,2405621760,4118564864,3574,1872
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775071232,90660864,2405625856,4118564864,2773,1983
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1775071232,90660864,2405625856,4118564864,4932,2395
2019/9/10 23:56,0.501,0.251,97.995,1.253,0,0,0,32768,1775071232,90660864,2405625856,4118564864,7621,4298
2019/9/10 23:56,0.501,0,99.499,0,0,0,0,16384,1775058944,90660864,2405629952,4118573056,4029,2290
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775054848,90660864,2405634048,4118573056,4409,2549
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1775050752,90660864,2405638144,4118573056,3168,2026
2019/9/10 23:56,0.503,0,99.497,0,0,0,0,0,1775050752,90660864,2405638144,4118573056,2570,1657
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1775042560,90660864,2405638144,4118581248,4201,2070
2019/9/10 23:56,0.5,0.25,98.25,1,0,0,0,65536,1775042560,90660864,2405638144,4118581248,3168,2416
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,2570,1653
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,8192,1774915584,90660864,2405638144,4118708224,5994,3354
2019/9/10 23:56,0.25,0.25,99.5,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,3114,1761
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,2570,1637
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,16384,1774915584,90660864,2405638144,4118708224,4201,1961
2019/9/10 23:56,0.251,0.251,98.995,0.503,0,0,0,40960,1774915584,90660864,2405638144,4118708224,3168,1911
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,2570,1653
2019/9/10 23:56,0.499,0.249,99.252,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,4201,1961
2019/9/10 23:56,0.252,0,99.748,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,3168,1895
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,73728,1774915584,90660864,2405638144,4118708224,2570,1637
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775042560,90660864,2405638144,4118581248,4201,1977
2019/9/10 23:56,0.251,0.251,98.995,0.503,0,0,0,65536,1775042560,90660864,2405638144,4118581248,3432,2027
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1775042560,90660864,2405638144,4118581248,2570,1653
2019/9/10 23:56,0.251,0.251,99.497,0,0,0,0,0,1775042560,90660864,2405638144,4118581248,4201,1961
2019/9/10 23:56,0.501,0,99.499,0,0,0,0,147456,1774915584,90660864,2405638144,4118708224,3168,1895
2019/9/10 23:56,0.5,0.5,99,0,0,0,0,0,1774915584,90660864,2405638144,4118708224,2570,1653
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1774911488,90660864,2405642240,4118708224,4243,2105
2019/9/10 23:56,0.251,0,99.246,0.503,0,0,0,40960,1774911488,90660864,2405642240,4118708224,3168,1895
2019/9/10 23:56,0.251,0.251,99.499,0,0,0,0,0,1774903296,90660864,2405642240,4118716416,2570,1755
2019/9/10 23:56,0.504,0.252,99.244,0,0,0,0,40960,1774903296,90660864,2405642240,4118716416,4201,1961
2019/9/10 23:56,0.501,0.251,99.248,0,0,0,0,0,1774903296,90660864,2405642240,4118716416,3168,1911
2019/9/10 23:56,0.501,0.501,98.997,0,0,0,0,16384,1774903296,90660864,2405642240,4118716416,6188,3819
2019/9/10 23:56,1.003,0.251,98.747,0,0,0,0,212992,1774899200,90660864,2405646336,4118716416,24509,14232
2019/9/10 23:57,0.25,0.5,98.75,0.5,0,0,0,65536,1774886912,90660864,2405658624,4118716416,3691,2004
2019/9/10 23:57,6.297,1.008,92.443,0,0,0.252,0,188416,1775157248,90660864,2405658624,4118446080,29867,668825
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1775202304,90660864,2405679104,4118380544,3121,2583
2019/9/10 23:57,0.251,0.503,99.246,0,0,0,0,0,1775202304,90660864,2405679104,4118380544,3576,1892
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1775075328,90660864,2405679104,4118507520,3286,3346
2019/9/10 23:57,1.003,0.251,98.246,0.501,0,0,0,98304,1775071232,90664960,2405679104,4118507520,10811,6529
2019/9/10 23:57,0.748,0.499,98.753,0,0,0,0,0,1775099904,90664960,2405683200,4118474752,3735,2393
2019/9/10 23:57,0.504,0.252,99.244,0,0,0,0,0,1775079424,90664960,2405703680,4118474752,9398,15559
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1775075328,90664960,2405707776,4118474752,4737,2114
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1775075328,90664960,2405707776,4118474752,3413,1745
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,0,1775075328,90664960,2405707776,4118474752,2869,1637
2019/9/10 23:57,0.251,0.251,99.246,0.251,0,0,0,40960,1775075328,90664960,2405707776,4118474752,7500,21617
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1774899200,90664960,2405707776,4118650880,5467,8491
2019/9/10 23:57,0.503,0,99.497,0,0,0,0,0,1774899200,90664960,2405707776,4118650880,6165,19038
2019/9/10 23:57,0.501,0.501,98.997,0,0,0,0,0,1774899200,90664960,2405707776,4118650880,7156,23380
2019/9/10 23:57,0.501,0.251,99.248,0,0,0,0,0,1775022080,90664960,2405711872,4118523904,9005,31661
2019/9/10 23:57,0.501,0,98.997,0.501,0,0,0,188416,1775005696,90664960,2405711872,4118540288,4325,21943
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,24576,1774997504,90664960,2405720064,4118540288,8915,4347
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774989312,90664960,2405728256,4118540288,4148,2039
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774989312,90664960,2405728256,4118540288,3555,1997
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774985216,90664960,2405732352,4118540288,5424,2954
2019/9/10 23:57,0.501,0.251,98.997,0.251,0,0,0,106496,1774981120,90664960,2405736448,4118540288,3376,1991
2019/9/10 23:57,0.503,0.251,99.246,0,0,0,0,0,1774977024,90664960,2405740544,4118540288,3761,2667
2019/9/10 23:57,0.251,0.501,99.248,0,0,0,0,0,1774977024,90664960,2405740544,4118540288,6109,2273
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774972928,90664960,2405744640,4118540288,3895,2104
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1774968832,90664960,2405748736,4118540288,5154,2739
2019/9/10 23:57,0.253,0,95.202,4.545,0,0,0,114688,1774956544,90664960,2405752832,4118548480,4678,2449
2019/9/10 23:57,0.75,0.25,99,0,0,0,0,0,1774915584,90664960,2405761024,4118581248,3299,2193
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774915584,90664960,2405761024,4118581248,2569,1657
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774915584,90664960,2405761024,4118581248,4201,1961
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,0,1774915584,90664960,2405761024,4118581248,3114,1745
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,106496,1774907392,90664960,2405761024,4118589440,2624,1787
2019/9/10 23:57,0,0.252,97.985,1.763,0,0,0,65536,1774907392,90664960,2405761024,4118589440,4201,1977
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,3114,1761
2019/9/10 23:57,0.5,0.25,99.25,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,2624,1787
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,8192,1774907392,90664960,2405761024,4118589440,6035,3294
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,3114,1761
2019/9/10 23:57,0.5,0.25,98.75,0.5,0,0,0,32768,1774907392,90664960,2405761024,4118589440,2624,1787
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,4201,1977
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,3114,1745
2019/9/10 23:57,0.503,0,99.497,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,2624,1787
2019/9/10 23:57,0.25,0.5,99.25,0,0,0,0,16384,1774907392,90664960,2405761024,4118589440,4201,1961
2019/9/10 23:57,0.251,0,99.749,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,3114,1761
2019/9/10 23:57,0.25,0.5,98.75,0.5,0,0,0,32768,1774907392,90664960,2405761024,4118589440,2624,1787
2019/9/10 23:57,0.252,0,99.748,0,0,0,0,0,1774907392,90664960,2405761024,4118589440,4291,2067
2019/9/10 23:57,0.501,0.251,98.997,0,0,0.251,0,0,1774780416,90664960,2405761024,4118716416,3378,2421
2019/9/10 23:57,0.251,0.251,99.499,0,0,0,0,98304,1774780416,90664960,2405761024,4118716416,2624,1787
2019/9/10 23:57,0.251,0.501,99.248,0,0,0,0,0,1774780416,90664960,2405761024,4118716416,4201,1977
2019/9/10 23:57,0.501,0.251,99.248,0,0,0,0,0,1774780416,90664960,2405761024,4118716416,3114,1745
2019/9/10 23:57,0.503,0.251,98.995,0.251,0,0,0,106496,1774780416,90664960,2405761024,4118716416,2624,1787
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1774780416,90664960,2405761024,4118716416,4201,1977
2019/9/10 23:57,0.501,0.251,99.248,0,0,0,0,8192,1774780416,90664960,2405761024,4118716416,3114,1745
2019/9/10 23:57,0.503,0.251,99.246,0,0,0,0,0,1774780416,90664960,2405761024,4118716416,2624,1803
2019/9/10 23:57,0.752,0.501,98.747,0,0,0,0,0,1774780416,90664960,2405761024,4118716416,4279,2171
2019/9/10 23:57,0.75,0.25,98.75,0.25,0,0,0,131072,1774780416,90664960,2405761024,4118716416,17418,8536
2019/9/10 23:57,0.253,0.253,99.242,0.253,0,0,0,147456,1774772224,90664960,2405769216,4118716416,12873,8828
2019/9/10 23:57,5.528,1.005,93.467,0,0,0,0,212992,1775333376,90664960,2405773312,4118151168,29949,664070
2019/9/10 23:57,0.251,0.251,99.497,0,0,0,0,0,1775218688,90664960,2405793792,4118245376,2034,2369
2019/9/10 23:57,0.503,0.251,99.246,0,0,0,0,0,1775218688,90664960,2405793792,4118245376,2243,1479
2019/9/10 23:57,0.5,0.5,99,0,0,0,0,0,1775218688,90664960,2405793792,4118245376,6155,4409
2019/9/10 23:58,0.752,0.501,98.246,0.501,0,0,0,98304,1775218688,90664960,2405793792,4118245376,7861,4386
2019/9/10 23:58,0.503,0.251,99.246,0,0,0,0,155648,1775480832,90664960,2405801984,4117975040,4250,2889
2019/9/10 23:58,0.754,0.251,98.995,0,0,0,0,0,1775464448,90664960,2405826560,4117966848,10821,16847
2019/9/10 23:58,0.252,0,99.748,0,0,0,0,0,1775460352,90664960,2405830656,4117966848,3825,1745
2019/9/10 23:58,0.25,0.5,99.25,0,0,0,0,0,1775460352,90664960,2405830656,4117966848,2869,1637
2019/9/10 23:58,0.503,0,99.497,0,0,0,0,0,1775460352,90664960,2405830656,4117966848,4500,1961
2019/9/10 23:58,0.251,0.251,98.995,0.503,0,0,0,106496,1775460352,90664960,2405830656,4117966848,7205,24577
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1775157248,90664960,2405830656,4118269952,3463,4895
2019/9/10 23:58,0.501,0.251,99.248,0,0,0,0,16384,1775157248,90664960,2405830656,4118269952,9019,11182
2019/9/10 23:58,0.251,0.251,99.497,0,0,0,0,0,1775157248,90664960,2405830656,4118269952,7109,32843
2019/9/10 23:58,0.503,0,99.497,0,0,0,0,0,1775153152,90664960,2405834752,4118269952,10782,37357
2019/9/10 23:58,0.503,0.251,98.744,0.503,0,0,0,49152,1775136768,90664960,2405834752,4118286336,7592,22365
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1775120384,90664960,2405834752,4118302720,4729,2600
2019/9/10 23:58,0.25,0.5,99.25,0,0,0,0,0,1775116288,90664960,2405838848,4118302720,2923,1929
2019/9/10 23:58,0.752,0.251,98.747,0,0,0.251,0,0,1775104000,90664960,2405842944,4118310912,4528,2355
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1775104000,90664960,2405842944,4118310912,3375,1935
2019/9/10 23:58,0.752,0.251,98.997,0,0,0,0,139264,1775104000,90669056,2405838848,4118310912,2885,1787
2019/9/10 23:58,0.251,0.251,97.243,2.256,0,0,0,122880,1775239168,90669056,2405847040,4118167552,5112,2333
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1775112192,90669056,2405847040,4118294528,4747,2402
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1775104000,90669056,2405855232,4118294528,2746,1448
2019/9/10 23:58,0.501,0.251,99.248,0,0,0,0,0,1775104000,90669056,2405855232,4118294528,4800,2443
2019/9/10 23:58,0.252,0,99.748,0,0,0,0,16384,1775104000,90669056,2405855232,4118294528,5136,2836
2019/9/10 23:58,0.752,0.501,98.747,0,0,0,0,0,1775104000,90669056,2405855232,4118294528,6375,4055
2019/9/10 23:58,0.251,0.251,98.496,1.003,0,0,0,65536,1775095808,90669056,2405863424,4118294528,4890,2342
2019/9/10 23:58,0.501,0.251,99.248,0,0,0,0,0,1775091712,90669056,2405867520,4118294528,3240,2022
2019/9/10 23:58,0.251,0.251,99.497,0,0,0,0,0,1775091712,90669056,2405867520,4118294528,2570,1657
2019/9/10 23:58,0.501,0,99.499,0,0,0,0,32768,1775091712,90669056,2405867520,4118294528,4201,1981
2019/9/10 23:58,0.251,0.501,99.248,0,0,0,0,0,1775058944,90669056,2405867520,4118327296,3168,1911
2019/9/10 23:58,0.251,0,88.191,11.558,0,0,0,40960,1775058944,90669056,2405867520,4118327296,2570,1637
2019/9/10 23:58,0.503,0.251,99.246,0,0,0,0,8192,1775058944,90669056,2405867520,4118327296,5228,2708
2019/9/10 23:58,0.501,0.251,99.248,0,0,0,0,0,1775058944,90669056,2405867520,4118327296,3982,2525
2019/9/10 23:58,0.251,0.251,99.497,0,0,0,0,8192,1774923776,90669056,2405867520,4118462464,2570,2181
2019/9/10 23:58,0.252,0,99.748,0,0,0,0,0,1774923776,90669056,2405867520,4118462464,4201,1977
2019/9/10 23:58,0.251,0.251,99.499,0,0,0,0,0,1774923776,90669056,2405867520,4118462464,3168,1895
